seed,tau,elite_ratio,num_elites,best_fitness,iters,time_s
42,50.0,0.2,19,37.11994934082031,50,67.41257786750793
42,20.0,0.2,19,37.13182830810547,47,65.73266887664795
42,50.0,0.3,28,37.15110778808594,43,51.92657256126404
42,20.0,0.1,9,37.19890594482422,51,79.96639370918274
42,50.0,0.1,9,37.215721130371094,41,62.75102496147156
42,1.0,0.1,9,37.28227233886719,37,60.434285402297974
42,1.0,0.3,28,37.94081115722656,43,51.68400502204895
42,1.0,0.2,19,37.96949005126953,39,53.00343418121338
42,20.0,0.3,28,38.00619125366211,56,64.74496412277222
