seed,tau,elite_ratio,num_elites,best_fitness,iters,time_s,weight_profile
0,50.0,0.2,19,38.001182556152344,37,46.52052283287048,balanced
1,50.0,0.2,19,37.24387741088867,49,59.63650178909302,balanced
2,50.0,0.2,19,37.13404083251953,42,58.058433532714844,balanced
0,50.0,0.2,19,42.36906433105469,44,58.97057294845581,thermal
1,50.0,0.2,19,42.406036376953125,47,61.62807106971741,thermal
2,50.0,0.2,19,42.37004089355469,40,53.14686679840088,thermal
0,50.0,0.2,19,31.325580596923828,45,62.01229453086853,wire
1,50.0,0.2,19,31.090383529663086,46,63.84479784965515,wire
2,50.0,0.2,19,31.085376739501953,47,63.62570524215698,wire
0,20.0,0.2,19,37.12873840332031,51,66.36781048774719,balanced
1,20.0,0.2,19,37.131317138671875,43,57.59537959098816,balanced
2,20.0,0.2,19,37.133853912353516,47,63.85315728187561,balanced
0,20.0,0.2,19,42.373470306396484,45,58.501681327819824,thermal
1,20.0,0.2,19,42.42984390258789,43,53.900487422943115,thermal
2,20.0,0.2,19,42.38838195800781,42,55.89347529411316,thermal
0,20.0,0.2,19,31.09683609008789,48,66.186603307724,wire
1,20.0,0.2,19,31.104917526245117,41,55.691649436950684,wire
2,20.0,0.2,19,31.089210510253906,41,76.49412512779236,wire
0,50.0,0.3,28,37.146385192871094,52,75.21477794647217,balanced
1,50.0,0.3,28,37.129432678222656,46,58.257431507110596,balanced
2,50.0,0.3,28,37.128028869628906,44,54.11459803581238,balanced
0,50.0,0.3,28,42.39197540283203,45,52.972981214523315,thermal
1,50.0,0.3,28,42.379451751708984,53,68.61229228973389,thermal
2,50.0,0.3,28,42.390533447265625,42,53.48600435256958,thermal
0,50.0,0.3,28,31.16774559020996,51,65.10746765136719,wire
1,50.0,0.3,28,31.09362030029297,53,65.8881208896637,wire
2,50.0,0.3,28,31.09973907470703,34,59.04876112937927,wire
