tau,elite_ratio,weight_profile,mean_best,std_best,mean_iters,mean_time_s
20.0,0.2,wire,31.096988042195637,0.007854610424414363,43.333333333333336,66.12412595748901
50.0,0.3,wire,31.120368321736652,0.04114382123814469,46.0,63.34811655680338
50.0,0.2,wire,31.16711362202962,0.13725925683180698,46.0,63.160932540893555
20.0,0.2,balanced,37.13130315144857,0.0025577832001565434,47.0,62.60544912020365
50.0,0.3,balanced,37.13461558024088,0.010216922518098566,47.333333333333336,62.52893582979838
50.0,0.2,balanced,37.45970026652018,0.4721422677286217,42.666666666666664,54.73848605155945
50.0,0.2,thermal,42.3817138671875,0.021069569989757602,43.666666666666664,57.91517027219137
50.0,0.3,thermal,42.38732020060221,0.0068523116503044195,46.666666666666664,58.35709261894226
20.0,0.2,thermal,42.39723205566406,0.029210250910969675,43.333333333333336,56.0985480149587
